X,Y,dX,dY,dZ,Ekine
0.029779335,0.08257999,0.013498854,0.023537133,1.0069574,2.713578
1.4408108,0.66093063,0.501828,0.25205868,0.7880554,2.086543
-0.7355219,0.661769,-0.28629106,0.28312942,0.92507726,2.3775077
0.6180558,-1.0196176,0.2289188,-0.41843522,0.9029221,1.5943494
0.5262524,0.5010474,0.2426549,0.20499319,0.9671643,2.7094514
0.12491175,1.4470589,0.14170817,0.5276184,0.91084534,2.3896961
-1.1217973,0.3821239,-0.413729,0.16249844,0.9087248,2.8556545
0.49921268,0.8898394,0.18400842,0.35338312,0.9200195,3.1843977
-1.2063284,0.08141934,-0.43997723,0.06506157,0.8672286,2.3654137
-0.5308497,0.42118597,-0.222072,0.16336751,0.96547365,2.1011038
0.20535332,-1.3430007,0.0818295,-0.5082053,0.8723222,2.646377
0.98904943,1.4226196,0.36088806,0.5056048,0.7437413,2.5477037
-0.036957905,0.34552282,-0.001683943,0.1178241,0.99386215,2.9277906
-0.82486427,0.45029736,-0.31108773,0.20066983,0.94032043,2.5344036
0.04008966,-1.330701,0.0070919655,-0.5179944,0.86910355,2.468502
1.1740432,0.4391669,0.43521494,0.16594338,0.898795,2.620721
0.15899056,-0.71662086,0.08071463,-0.3112566,0.9480277,2.5084531
-0.86370766,-0.450529,-0.31931487,-0.18164924,0.94765204,2.6554065
-0.7695023,0.30050045,-0.32619387,0.11787845,0.9105668,2.2942314
-1.1240044,-0.5905058,-0.44028944,-0.21883753,0.87554216,2.6513667
-0.051926598,-0.9550873,-0.07135016,-0.35428205,0.9141085,2.9572635
0.5053656,1.3886151,0.22391494,0.49638134,0.9016362,2.8009202
0.38764906,-0.7025208,0.16826111,-0.3032576,0.93470883,2.6122746
-0.60319436,0.270598,-0.24602303,0.11496587,0.9400026,2.3342392
-0.39155918,1.4386196,-0.1171967,0.5292681,0.88708586,2.7746768
-0.03765338,0.2490893,-0.010120403,0.12346308,0.98964006,2.5516655
0.49156398,0.55981904,0.18741441,0.22718477,0.9859917,2.9150805
0.66237557,-0.8613429,0.258254,-0.3676665,0.907626,2.6668766
0.11534556,0.51071644,0.026381612,0.20353198,0.9887367,2.6269197
-0.1646499,0.6962916,-0.04293253,0.30104145,0.99173796,2.3379953
-0.47838366,1.2161295,-0.1942983,0.44781056,0.90350884,2.5577335
1.1392753,0.3222491,0.4544692,0.13985963,0.8659845,2.3232632
0.43050992,-1.3575542,0.15452002,-0.5040531,0.8339424,2.7540793
0.17778447,0.029447913,0.034172796,0.00043322705,1.0223403,2.8234565
0.38691372,0.15361726,0.16565205,0.086196706,1.000711,2.6445923
0.051289044,0.6701862,0.01753759,0.31120038,0.97475964,2.854904
-1.0197239,1.2247596,-0.3582704,0.4868638,0.82802236,2.2603781
1.2066104,0.2222741,0.47714797,0.116741374,0.8934042,2.7239447
-0.41157067,-0.11773051,-0.142432,-0.06361278,1.0082053,2.74961
-0.562648,0.95869476,-0.21125662,0.38220844,0.90401703,2.576262
-0.6602125,-1.31671,-0.27896178,-0.48619306,0.86869586,2.6945117
0.90788776,-0.1286754,0.37026876,-0.06585608,0.95084465,2.634653
0.30449054,0.27203918,0.10246623,0.07150596,1.012861,2.8062615
0.7530383,-0.8134518,0.3164366,-0.34943157,0.90573084,2.1267633
-0.7311789,-0.1395739,-0.34076083,-0.0744947,0.93470776,2.7279325
-0.59535444,0.14202692,-0.21665263,0.039380305,0.9841443,2.5393493
0.117129214,0.51250875,0.025222566,0.26377445,0.9671038,2.358876
-0.44899154,0.9714125,-0.16790952,0.45098984,0.8922992,2.471847
0.30249655,0.3659352,0.11320761,0.15559435,0.9885987,2.3694305
-0.3310481,-0.30435258,-0.14325893,-0.15238899,0.99751973,2.8400023
0.8915101,-1.4960425,0.3311514,-0.5282238,0.76014656,3.1607337
1.1224788,1.1815634,0.41992944,0.4173909,0.81103027,2.5390549
1.202254,-1.1719995,0.45202488,-0.43622312,0.8161413,2.6841557
0.94129276,1.2159252,0.3416117,0.4590512,0.8165132,2.7447014
0.57605886,-1.0106133,0.23820126,-0.4091838,0.92611283,2.3991368
0.1303639,-1.163416,0.034836043,-0.4448883,0.88389474,2.980439
-1.4169904,0.6524287,-0.4935004,0.22911869,0.82141626,2.2088885
-0.043438695,0.88296074,0.026726477,0.3854503,0.9395342,2.1667452
1.1781573,-1.1543032,0.43231454,-0.42384076,0.84010136,2.111222
0.7218715,0.44467783,0.25435254,0.15791795,0.983564,2.429343
-0.7330383,1.2852104,-0.266855,0.46139258,0.84686863,2.640324
-0.3049659,-0.14473626,-0.11836825,-0.055271238,1.0054346,2.3689826
