X,Y,dX,dY,dZ,Ekine
-0.43586963,1.0604695,0.8097398,-0.31033581,0.77254295,3.0048997
-0.061642796,0.4734003,0.31938964,-0.31410372,0.76294017,2.6287818
1.1980456,-0.9951435,-0.8337195,-0.097297765,0.7057555,3.0899327
1.5008588,-0.5973214,-1.1072972,-0.33689275,0.71531355,3.2958713
0.80952936,-0.5240735,-0.44763425,0.016174674,0.7829699,3.0079312
2.4134781,-0.5577891,-1.8225193,-0.7871523,0.7772006,2.948952
1.4489137,-0.36191916,-1.0588777,-0.35554865,0.7840292,2.800394
2.8449283,-0.85161924,-1.666176,-0.48256078,0.8708105,3.0745332
0.30616882,0.13061666,-0.1391179,-0.215668,0.6878556,3.155411
-0.5003462,0.081828,1.0011114,0.020212054,0.7748302,3.7277899
-0.057658494,-0.01836884,0.32695088,-0.025461063,0.7322338,2.9484453
0.26048908,-0.2898577,-0.2222569,-0.03851719,0.71377254,2.9000597
1.2244455,0.26320273,-1.0359178,-0.7738671,0.7171019,2.8599648
1.0710212,-0.7788154,-0.7680992,-0.17525694,0.71626854,2.9491305
1.8990479,0.6593823,-1.3873408,-0.77962995,0.7148459,3.674589
-0.42456287,-0.91526645,0.81314737,0.362256,0.73887086,2.985541
1.0764169,-0.31509846,-0.78880733,-0.32964423,0.6818595,3.1524422
-0.13714245,-0.5176348,0.2996161,0.1466975,0.71860844,3.188121
0.39021266,0.99111086,-0.030979276,-0.46392527,0.7001747,3.37497
0.5625067,0.15897894,-0.31620938,-0.31994224,0.6764003,3.3296623
0.65051746,-0.47362208,-0.49051556,-0.048230954,0.73867685,2.8200297
